GO	[-15.83 -0.96]	[-0.96 -0.54]	[-0.54 -0.26]	[-0.26 -0.03]	[-0.03 0.00]	[0.00 0.19]	[0.19 0.45]	[0.45 0.58]	[0.58 0.97]	[0.97 2.01]	[2.01 11.56]
MENON_FETAL_KIDNEY_9_ENDOTHELIAL_CELLS MENON_FETAL_KIDNEY_9_ENDOTHELIAL_CELLS	-1.858	-0.385	-0.260	-3.183	-1.858	-0.260	0.873	-0.260	1.373	3.537	0.493
ZHENG_CORD_BLOOD_C6_HSC_MULTIPOTENT_PROGENITOR ZHENG_CORD_BLOOD_C6_HSC_MULTIPOTENT_PROGENITOR	-0.659	-0.918	0.290	0.594	-0.659	-0.312	1.287	-0.918	0.594	3.925	-3.982
MENON_FETAL_KIDNEY_0_CAP_MESENCHYME_CELLS MENON_FETAL_KIDNEY_0_CAP_MESENCHYME_CELLS	-0.555	-1.102	-0.247	-1.102	-3.735	-0.377	2.550	0.941	2.550	0.362	-0.554
DESCARTES_MAIN_FETAL_MICROGLIA DESCARTES_MAIN_FETAL_MICROGLIA	0.372	-0.732	-1.737	-0.570	-2.102	-1.155	-0.570	-0.570	2.346	4.375	1.130
ZHENG_CORD_BLOOD_C2_PUTATIVE_BASOPHIL_EOSINOPHIL_MAST_CELL_PROGENITOR ZHENG_CORD_BLOOD_C2_PUTATIVE_BASOPHIL_EOSINOPHIL_MAST_CELL_PROGENITOR	-1.252	0.290	0.594	-0.461	-3.985	0.290	-0.461	-0.461	2.631	2.631	-0.658
DESCARTES_FETAL_ADRENAL_STROMAL_CELLS DESCARTES_FETAL_ADRENAL_STROMAL_CELLS	-0.329	-1.566	-1.255	-1.255	1.949	-0.993	-1.935	2.237	0.644	-0.447	2.876
DESCARTES_FETAL_LUNG_STROMAL_CELLS DESCARTES_FETAL_LUNG_STROMAL_CELLS	0.638	-1.466	-0.600	-2.280	2.475	-0.949	-0.600	1.232	-0.600	-0.600	2.477
DESCARTES_FETAL_INTESTINE_CHROMAFFIN_CELLS DESCARTES_FETAL_INTESTINE_CHROMAFFIN_CELLS	0.356	-0.971	-1.285	-0.971	4.713	-0.971	-1.285	2.243	-1.285	0.356	0.665
AIZARANI_LIVER_C21_STELLATE_CELLS_1 AIZARANI_LIVER_C21_STELLATE_CELLS_1	0.396	-0.659	-0.398	-1.529	-0.301	-1.028	-1.838	-0.659	-0.517	4.557	3.169
LAKE_ADULT_KIDNEY_C15_CONNECTING_TUBULE LAKE_ADULT_KIDNEY_C15_CONNECTING_TUBULE	0.535	-0.293	-1.341	-0.521	-5.851	0.309	-0.395	0.413	1.432	2.196	0.677
LAKE_ADULT_KIDNEY_C11_THIN_ASCENDING_LIMB LAKE_ADULT_KIDNEY_C11_THIN_ASCENDING_LIMB	-1.623	-1.063	-1.063	-0.285	-3.420	0.854	0.423	-0.509	2.523	2.523	0.693
DESCARTES_FETAL_CEREBRUM_OLIGODENDROCYTES DESCARTES_FETAL_CEREBRUM_OLIGODENDROCYTES	-1.038	-2.107	-0.301	-1.038	4.154	0.301	-1.486	1.508	-0.710	-0.301	1.190
DESCARTES_FETAL_ADRENAL_SYMPATHOBLASTS DESCARTES_FETAL_ADRENAL_SYMPATHOBLASTS	0.594	-2.288	-1.383	-1.787	1.767	-0.291	-1.055	3.157	-0.582	-0.291	1.482
TRAVAGLINI_LUNG_PROLIFERATING_NK_T_CELL TRAVAGLINI_LUNG_PROLIFERATING_NK_T_CELL	-2.669	-0.778	0.924	0.731	-1.322	0.420	4.129	-0.301	0.731	-0.301	-2.128
DESCARTES_FETAL_CEREBELLUM_OLIGODENDROCYTES DESCARTES_FETAL_CEREBELLUM_OLIGODENDROCYTES	0.270	-1.214	-1.214	-1.594	5.959	-0.334	-1.594	0.929	0.393	-0.334	0.393
DESCARTES_FETAL_MUSCLE_SMOOTH_MUSCLE_CELLS DESCARTES_FETAL_MUSCLE_SMOOTH_MUSCLE_CELLS	0.558	-2.290	-2.290	0.243	0.243	-0.368	-2.290	1.314	1.639	0.381	1.641
DESCARTES_FETAL_CEREBRUM_SKOR2_NPSR1_POSITIVE_CELLS DESCARTES_FETAL_CEREBRUM_SKOR2_NPSR1_POSITIVE_CELLS	0.737	-0.771	-1.477	-2.696	3.021	0.539	-1.477	0.539	-0.364	-0.538	1.859
CUI_DEVELOPING_HEART_C9_B_T_CELL CUI_DEVELOPING_HEART_C9_B_T_CELL	-2.946	-0.621	-0.470	0.259	-2.946	0.774	0.259	0.475	3.127	1.622	-0.347
DESCARTES_FETAL_EYE_STROMAL_CELLS DESCARTES_FETAL_EYE_STROMAL_CELLS	0.362	-0.377	-0.791	-1.505	1.492	-1.102	-2.733	1.200	-0.555	0.362	3.404
DESCARTES_FETAL_HEART_MYELOID_CELLS DESCARTES_FETAL_HEART_MYELOID_CELLS	0.628	-2.306	-0.362	-0.885	-1.463	-0.499	-0.499	0.628	0.351	6.042	-0.362
LAKE_ADULT_KIDNEY_C24_ENDOTHELIAL_CELLS_AEA_AND_DVR LAKE_ADULT_KIDNEY_C24_ENDOTHELIAL_CELLS_AEA_AND_DVR	-0.975	0.513	0.388	-0.975	-5.106	0.388	1.710	-0.319	-0.435	2.273	0.515
MURARO_PANCREAS_PANCREATIC_POLYPEPTIDE_CELL MURARO_PANCREAS_PANCREATIC_POLYPEPTIDE_CELL	-0.470	-1.297	-0.470	-1.986	-1.297	0.475	-1.030	0.475	-0.348	3.127	3.489
