name	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
DAC+SB.122.2-x1-0	DAC+SB.122.2-x1-0	0.308194713722603	-2.20904919800702	3.9949887671621	-0.55295504612301	0.580294192890872	1
DAC+SB.122.3-x1-0	DAC+SB.122.3-x1-0	0	0	NA	NA	NA	1
DAC+SB.122.1-x1-0	DAC+SB.122.1-x1-0	1.01098170207869	-0.0420238540355443	3.88655647535292	-0.0108126189088062	0.991372946413207	1
DAC+SB.123.6-x1-0	DAC+SB.123.6-x1-0	0.0822254914553661	1.0321626106215	4.04435635248383	0.255210599824519	0.798560444611561	1
DAC+SB.123.2-x1-0	DAC+SB.123.2-x1-0	2.92375128329473	-0.908989031740088	3.14500274954085	-0.289026466470592	0.772561124149642	1
DAC+SB.123.3-x1-0	DAC+SB.123.3-x1-0	9.01130064652153	0.477958646269672	1.68520175020953	0.283621024135683	0.776700823530949	0.99977667339471
DAC+SB.123.5-x1-0	DAC+SB.123.5-x1-0	0	0	NA	NA	NA	1
DAC+SB.123.1-x1-0	DAC+SB.123.1-x1-0	1.34860691950973	3.76818542565034	3.96349700501988	0.95072241025484	0.341745308842706	1
DAC+SB.123.4-x1-0	DAC+SB.123.4-x1-0	0	0	NA	NA	NA	1
STRG.35.1-x3-0	STRG.35.1-x3-0	0	0	NA	NA	NA	1
DAC+SB.126.1-x1-0	DAC+SB.126.1-x1-0	0.578493562034279	0.294097609300158	3.4278325627247	0.0857969588416499	0.931627824058574	1
DAC+SB.126.2-x1-0	DAC+SB.126.2-x1-0	0	0	NA	NA	NA	1
DAC+SB.128.2-x1-0	DAC+SB.128.2-x1-0	0	0	NA	NA	NA	1
DAC+SB.128.3-x1-0	DAC+SB.128.3-x1-0	0	0	NA	NA	NA	1
DAC+SB.128.1-x1-0	DAC+SB.128.1-x1-0	0	0	NA	NA	NA	1
DAC+SB.129.1-x1-0	DAC+SB.129.1-x1-0	0.261550866865877	0.646279388473918	3.97261627923685	0.16268356746453	0.87076758588086	1
DAC+SB.129.2-x1-0	DAC+SB.129.2-x1-0	2.54317425062014	-0.115057409124235	2.110217373966	-0.0545239606799336	0.95651771911848	1
DAC+SB.129.3-x1-0	DAC+SB.129.3-x1-0	1.84270504628003	-0.900481423502034	2.16086344183136	-0.41672296641701	0.676881053718647	1
DAC+SB.129.4-x1-0	DAC+SB.129.4-x1-0	0	0	NA	NA	NA	1
DAC+SB.129.5-x1-0	DAC+SB.129.5-x1-0	0	0	NA	NA	NA	1
DAC+SB.130.1-x1-0	DAC+SB.130.1-x1-0	0.175279407974795	1.69838383057732	4.01365742451893	0.423151168857139	0.672184971457198	1
DAC+SB.135.1-x1-0	DAC+SB.135.1-x1-0	0	0	NA	NA	NA	1
DAC.20.1-x2-0	DAC.20.1-x2-0	46.5183603860285	0.650117257024237	1.13695862520558	0.571803795328686	0.567454905774746	0.99977667339471
DAC+SB.137.1-x1-0	DAC+SB.137.1-x1-0	0.159274169886017	0.0616370474064163	4.00817525068353	0.0153778324428068	0.987730748484636	1
DAC+SB.137.3-x1-0	DAC+SB.137.3-x1-0	0	0	NA	NA	NA	1
DAC+SB.137.2-x1-0	DAC+SB.137.2-x1-0	0	0	NA	NA	NA	1
DAC+SB.138.1-x1-0	DAC+SB.138.1-x1-0	0.653339317140162	0.118894821626243	3.37738285981526	0.0352032406633185	0.971917678158794	1
DAC+SB.138.2-x1-0	DAC+SB.138.2-x1-0	0	0	NA	NA	NA	1
DAC+SB.140.1-x1-0	DAC+SB.140.1-x1-0	0	0	NA	NA	NA	1
DAC+SB.140.2-x1-0	DAC+SB.140.2-x1-0	0.172542917782164	-1.62702693889479	4.01248661397263	-0.405490932537697	0.685116682214639	1
DAC+SB.140.4-x1-0	DAC+SB.140.4-x1-0	0	0	NA	NA	NA	1
