name	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
DAC+SB.94.1-x1-0	DAC+SB.94.1-x1-0	7.12427228416641	-0.396347914898003	0.959813960043688	-0.41294243613623	0.67964878888147	0.999958274405444
DAC+SB.95.1-x1-0	DAC+SB.95.1-x1-0	1.4892968975427	0.165487759541953	3.00371963349874	0.0550942763420274	0.956063356038166	1
DAC+SB.95.2-x1-0	DAC+SB.95.2-x1-0	0	0	NA	NA	NA	1
DAC+SB.100.1-x1-0	DAC+SB.100.1-x1-0	27.3089905142709	0.794323347102889	0.480999492201647	1.65140163343434	0.0986565915276928	0.894483198611677
DAC+SB.101.1-x1-0	DAC+SB.101.1-x1-0	25.9053473522942	-0.357391336318292	0.60552221325831	-0.590220025777704	0.55504314799247	0.999958274405444
DAC+SB.103.2-x1-0	DAC+SB.103.2-x1-0	18.4584493649912	7.57801404206151	3.90992982717184	1.93814579213124	0.0526054380435846	0.69775054961837
DAC+SB.103.3-x1-0	DAC+SB.103.3-x1-0	0	0	NA	NA	NA	1
STRG.32.1-x3-0	STRG.32.1-x3-0	38.2568748317978	-1.05670181911249	1.19572353966182	-0.883734227906346	0.376839698805992	0.999958274405444
STRG.32.2-x3-0	STRG.32.2-x3-0	1.72889045199769	4.19712311255436	3.93896656854133	1.0655391558981	0.286632016223554	1
DAC+SB.103.1-x1-0	DAC+SB.103.1-x1-0	3.63902680285845	-0.693920276496494	1.72661281038264	-0.401896865541448	0.687759929633457	0.999958274405444
DAC+SB.104.1-x1-0	DAC+SB.104.1-x1-0	0.504542182192721	0.836012198556823	3.42154084080947	0.244337927691969	0.806969111403551	1
DAC+SB.105.1-x1-0	DAC+SB.105.1-x1-0	4.04955123893886	0.319711370404596	1.45831227230638	0.219233820133022	0.826467911578604	0.999958274405444
DAC+SB.106.1-x1-0	DAC+SB.106.1-x1-0	9.11012256545822	0.438295138720451	1.02465683987042	0.427748219370575	0.668834439554347	0.999958274405444
DAC+SB.108.1-x1-0	DAC+SB.108.1-x1-0	1.15113125975561	-0.286011386970974	2.28225070773422	-0.125319880941091	0.90027031354334	1
DAC+SB.108.2-x1-0	DAC+SB.108.2-x1-0	0.181988468631336	1.48621621182194	4.02354195202744	0.369380070977772	0.711844450378729	1
DAC+SB.110.1-x1-0	DAC+SB.110.1-x1-0	1.09193081178801	3.54924887143308	3.95648009315742	0.897072344069509	0.369680314982735	1
STRG.34.1-x3-0	STRG.34.1-x3-0	0	0	NA	NA	NA	1
DAC+SB.110.3-x1-0	DAC+SB.110.3-x1-0	16.8772408083106	-4.65635195935973	1.95839346202013	-2.37763863578088	0.0174238918252623	0.387200205265162
