Plate,Experiment,Group,Filename,Sample,Workspace,Compensation Source,Plot Title,Gate,X Parameter,Y Parameter,Count,Volume,Concentration,%Total,%Gated,X Mean,Y Mean,X Median,Y Median,X Peak,Y Peak,X SD,Y SD,X %CV,Y %CV,X rSD,Y rSD,X %rCV,Y %rCV
190430 D5 DEC RG3039 FxCycle,Experiment,Group,Sample(8).fcs,7c,Experiment,None,,R4,SSC-A,SSC-H,39851,237,168.148,78.430,78.430,324950,248416,293453,233589,228241,193678,150151.20,96384.67,46.21,38.80,140173.90,96220.74,47.77,41.19
190430 D5 DEC RG3039 FxCycle,Experiment,Group,Sample(8).fcs,7c,Experiment,None,,R1,VL1-H,,4763,237,20.097,9.374,14.228,12637,N/A,13416,N/A,16993,N/A,3415.61,N/A,27.03,N/A,3731.70,N/A,27.82,N/A
190430 D5 DEC RG3039 FxCycle,Experiment,Group,Sample(8).fcs,7c,Experiment,None,,R2,VL1-H,,20961,237,88.443,41.253,62.613,18236,N/A,19687,N/A,19988,N/A,3541.40,N/A,19.42,N/A,1242.42,N/A,6.31,N/A
190430 D5 DEC RG3039 FxCycle,Experiment,Group,Sample(8).fcs,7c,Experiment,None,,R6,VL1-H,,23740,237,100.169,46.722,70.914,19211,N/A,19863,N/A,19988,N/A,4370.18,N/A,22.75,N/A,1384.75,N/A,6.97,N/A
190430 D5 DEC RG3039 FxCycle,Experiment,Group,Sample(8).fcs,7c,Experiment,None,,R7,VL1-H,,28049,237,118.350,55.203,83.786,21918,N/A,20114,N/A,19988,N/A,7747.59,N/A,35.35,N/A,2123.08,N/A,10.56,N/A
190430 D5 DEC RG3039 FxCycle,Experiment,Group,Sample(8).fcs,7c,Experiment,None,,R5,VL1-H,,33477,237,141.253,65.885,65.885,18667,N/A,19794,N/A,19988,N/A,10258.12,N/A,54.95,N/A,4501.17,N/A,22.74,N/A
190430 D5 DEC RG3039 FxCycle,Experiment,Group,Sample(9).fcs,8a,Experiment,None,N/A,All Events,N/A,N/A,24970,300,83.233,100.000,100.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
190430 D5 DEC RG3039 FxCycle,Experiment,Group,Sample(9).fcs,8a,Experiment,None,,R4,FSC-A,SSC-A,17640,300,58.800,70.645,70.645,209714,325013,193975,293236,187364,256984,66174.78,151879.15,31.55,46.73,52531.48,141108.68,27.08,48.12
190430 D5 DEC RG3039 FxCycle,Experiment,Group,Sample(9).fcs,8a,Experiment,None,,R5,SSC-A,SSC-H,14607,300,48.690,58.498,82.806,307861,248042,286797,235189,250907,203751,117702.60,84081.68,38.23,33.90,118077.23,88118.33,41.17,37.47
190430 D5 DEC RG3039 FxCycle,Experiment,Group,Sample(9).fcs,8a,Experiment,None,,R4,SSC-A,SSC-H,17640,300,58.800,70.645,70.645,325013,250284,293236,236058,256984,203751,151879.15,98605.58,46.73,39.40,141108.68,99321.60,48.12,42.08
190430 D5 DEC RG3039 FxCycle,Experiment,Group,Sample(9).fcs,8a,Experiment,None,,R1,VL1-H,,2758,300,9.193,11.045,18.881,12282,N/A,13029,N/A,16755,N/A,3502.15,N/A,28.51,N/A,3914.81,N/A,30.05,N/A
190430 D5 DEC RG3039 FxCycle,Experiment,Group,Sample(9).fcs,8a,Experiment,None,,R2,VL1-H,,7842,300,26.140,31.406,53.687,17072,N/A,19052,N/A,19729,N/A,4171.10,N/A,24.43,N/A,2128.27,N/A,11.17,N/A
