GO	[-8.85 -1.02]	[-1.02 -0.60]	[-0.60 -0.32]	[-0.32 -0.08]	[-0.08 0.00]	[0.00 0.00]	[0.00 0.22]	[0.22 0.50]	[0.50 0.92]	[0.92 1.96]	[1.96 11.51]
DESCARTES_FETAL_SPLEEN_AFP_ALB_POSITIVE_CELLS DESCARTES_FETAL_SPLEEN_AFP_ALB_POSITIVE_CELLS	1.461	0.581	-1.703	-0.930	1.250	1.935	-2.438	-1.703	-1.406	0.351	1.938
DESCARTES_FETAL_ADRENAL_SYMPATHOBLASTS DESCARTES_FETAL_ADRENAL_SYMPATHOBLASTS	0.439	-1.383	-1.383	-1.787	0.775	5.400	-1.055	-0.417	-0.792	0.311	1.221
LAKE_ADULT_KIDNEY_C11_THIN_ASCENDING_LIMB LAKE_ADULT_KIDNEY_C11_THIN_ASCENDING_LIMB	-1.976	-0.661	-1.623	0.423	-1.063	-2.386	0.423	0.691	2.834	2.523	0.693
FAN_EMBRYONIC_CTX_BRAIN_NAIVE_LIKE_T_CELL FAN_EMBRYONIC_CTX_BRAIN_NAIVE_LIKE_T_CELL	-1.360	0.328	-0.664	0.723	-1.684	-3.664	-0.856	1.791	2.064	0.723	1.306
CUI_DEVELOPING_HEART_C9_B_T_CELL CUI_DEVELOPING_HEART_C9_B_T_CELL	-2.426	-0.621	-0.621	0.259	-0.806	-2.946	0.774	0.955	3.485	1.622	-0.347
DESCARTES_FETAL_CEREBELLUM_INHIBITORY_INTERNEURONS DESCARTES_FETAL_CEREBELLUM_INHIBITORY_INTERNEURONS	-0.574	-0.574	-0.574	-1.699	0.501	2.515	-0.574	-0.574	-0.991	-0.574	4.370
ZHENG_CORD_BLOOD_C7_PUTATIVE_LYMPHOID_PRIMED_MULTIPOTENT_PROGENITOR_1 ZHENG_CORD_BLOOD_C7_PUTATIVE_LYMPHOID_PRIMED_MULTIPOTENT_PROGENITOR_1	-0.897	-0.641	-0.301	0.301	-1.650	-2.920	1.052	1.052	2.683	1.617	-1.225
DESCARTES_MAIN_FETAL_SQUAMOUS_EPITHELIAL_CELLS DESCARTES_MAIN_FETAL_SQUAMOUS_EPITHELIAL_CELLS	-0.400	-0.983	-0.400	-2.605	0.968	3.824	-1.276	-1.635	-0.282	1.192	0.970
DESCARTES_FETAL_LUNG_BRONCHIOLAR_AND_ALVEOLAR_EPITHELIAL_CELLS DESCARTES_FETAL_LUNG_BRONCHIOLAR_AND_ALVEOLAR_EPITHELIAL_CELLS	0.764	-0.626	-0.405	-1.963	1.682	3.430	-0.626	-0.935	-0.626	-1.963	1.031
AIZARANI_LIVER_C21_STELLATE_CELLS_1 AIZARANI_LIVER_C21_STELLATE_CELLS_1	0.396	-0.659	-0.398	-1.529	-1.028	-0.829	-0.398	-1.260	-0.517	4.942	2.858
